edited,ratid,name,positionx,positiony,size,ending music,zodiac,angry message,tagline,dialogue 1,dialogue 2,dialogue 3,dialogue 4,dialogue 5,final dialogue,round 1 override,round 2 override,round 3 override,round 4 override,round 5 override,rose 1 override,rose 2 override,rose 3 override,rose 4 override,rose 5 override
t,michael,Michael,0.293,0.006,large,romantic_sad,Scorpio,Oh my... what is this feeling... is this sadness? Mich Mich is telling me I should lash out. I think instead of lashing out I'm just going to leave the show.,Hello,"Wow! I just have so many thoughts running through my head! Your eyes are so beautiful... Oh, you want to know about the two rats on my shoulder? Don’t mind them, their names are Mich Mich and Ael… Wow, your nose is so fortuitous. What? Oh yeah I came up with that compliment myself, my shoulder rats definitely didn’t suggest it… haha.","There’s nothing more satisfying than sitting in a medium-light room while occasionally eating some bread, without butter, of course. But lately Mich Mich and Ael have been nagging me to get out more and to be more evil or more good. The thing is, I don’t really like to think about what’s good or bad. I didn’t even audition for this show or anything, but one day the producers called me up and told me to come here.","About a year ago, I was riding the bus, eating my all time favorite recipe of instant ramen in lukewarm water and without the seasoning packets. Then Mich Mich and Ael jumped out of nowhere. They said they’ve been “waiting for someone like me”, that they were “waiting for a real challenge”. Enough about that, tell me more about you. What are your thoughts on blended cheesecake and risk-taking?","I only have two friends, I guess you’ve already met them and I’ve definitely talked about them (Mich Mich and Ael, the shoulder crew) - I’d like to think of them as my besties but I can’t tell if they feel the same way… I think those two sometimes go get soup and don’t send me an e-vite… Do you think they’re hanging out without me? Maybe they don’t invite me cause they know I don’t like salt or gratuitous liquid in my foods...",I hope we can continue to talk like this and get to know each other better. You make my heart flutter in ways that I’ve never felt before — not even while reading the Terms of Services on websites — and it’s making me want to act in ways I never have before!,"Oh, I can’t wait to spend the rest of my life with you! Mich Mich and Ael are so happy for us, they said they are fulfilled and can retire now! Let’s life a comfortable and joyous life together, my love!",michael-michmichael.png,,michael-michmichael.png,,michael-michmichael.png,,,,,
t,mystique,Mystique,0.34,0.119,medium,romantic_happy,Aquarius,"That was NOT the right answer. In fact, it was so wrong that I think I cannot continue on this show. Goodbye, brave warrior.",Riddle me this...,"What is never whole, but always broken? Yes, this question has kept me up at night indeed… do let me know if you figure it out my dear…","Past present future, the sands of time slip through the great hourglass, and fall together as one. Drip drip drip goes the faucet of the fountain of youth. and our cells are reborn one by one, yet the veil is never lifted. Have you seen the veil? I can’t find it…","The ancient prophecy has foretold of a great warrior who could conquer any battle… I believe you may be that warrior. But first, answer me this: What is the capital of Idaho?","I saw a mysterious book in an antiques store and I opened it and it asked me… “If Rob is going 10 miles per hour, and Melissa is going 12 miles per hour but starts 30 minutes later, when do their fates cross?” I’ve been thinking about this question for years… do let me know if you have any leads…",All of my most challenging riddles and puzzles… you’ve answered them with finesse and ease… So wise… the wisest rat I’ve ever known. Can it be… I’ve finally met the one for me…? …,Oh… Together I believe we have answered the riddle of life and love! My sleepless nights thinking about the world’s great mysteries are over… we shall unlock the secrets of the universe together! My wisest love and my dearest friend… !,,,,,,,,,,
t,oedimb,Oedimb,0.337,0.148,medium,intense,Libra,"That was not aligned with the spirit of celebration : ( This place is not a good party, and I'm going back to my insurance company, where they know how to party right.",Oh! Every day is my birthday!,Happy Birthday To Me! :),Even though every day is My Birthday I want to make sure Your Birthday is extra special too. Please do let me know when your birthday is and we can have a big party!,"I took some time off from my job as an insurance adjuster to be here, but I’ve been missing the office! We hold the best celebrations! When I get that big promotion, we’ll celebrate EVERYONE at the company EVERY day!","How can every day be my birthday? Well, let’s just say that time works differently for me than for others. Being born in a centrifuge rearranged my atoms :) anyway, I’m really glad that I was born because it means I get to meet you!","I know a guy, If you want it to be your birthday every day, well, I know how to make that happen. Don’t worry, it’s not dangerous - but even if it was, I’m a really good insurance adjuster. Here, take this kazoo.","Every day of my life is so special, but meeting you has been the most special thing to me. Everything is just so much more exciting and colorful and mesmerizing with you around that I hardly imagine it. My joy is unrivaled, unparalleled, unmatched! UNEQUAL!",,,,,,,,,,
t,pamplemouse,The Honorable Pamplemouse,0.351,0.135,small,romantic_happy,Leo,Alas! I thought you were better than this... my horses won't stand for this!!! I'm leaving this show and am never coming back.,I like to be pampered :) ,"Hello… I am Pamplemouse. As nobility, and also as a rat of astounding honor, I do hold the title of “The Honorable”, meaning I’m actually called “The Honorable Pamplemouse”, but I think we are all honorable unless proven otherwise. Please just call me by my first name, or any term of endearment","You never know when danger might strike, and that is why I am an avid collector of horses. If other nobles see that I have many horses, they would not dare conspire against me because they will know that I am the most noble of all... due to the fullness of my stables and the freshness of my hay. I am constantly keeping track of how many horses my cousins have so that I can make sure I have at least one more at all times.","My favorite book is an 1836 copy of “Le Grande Extraordinaire”, a book and treatise written by my much beloved and atoned great-great-grand-rat, ‘The Previously Dishonorable but now in Good Graces Von Toutenmouse”. I keep it in my inner coat pocket, along with volumes 1 - 33 of the Merriam Webster Dictionary. Volume 33 has been especially helpful to stay in touch with my subjects, as it covers modern slang such as “Cheetos” and “Doritos.”","I am so small and honorable, but, as a royal, there are threats that I just cannot ignore. For example, the other day our court jester rode in on the most magnificent horse I had ever laid eyes on. I must know, who is their equine provider? Once I find out, I shall buy the finest pair of twin horses for you and I to ride together. I’m growing quite fond of you, afterall.","You are the most honorable rat that I have ever met, besides myself and my second cousin of course. With the two of us together, our reputation will be so impeccable, and we will be able to do such much good for our subjects together! Let’s get married and invite the whole town — I’ll order 10000 more celebratory horses so that each of our guests may have one as a party favor. Any left unclaimed shall live their gentle lives out in my pastures!","Oh, I cannot wait to spend the rest of my life riding horses with you, my most honorable love!",,,pamplemouse-book.png,,,,,,,
t,philoxena,Philoxena,0.3,0.142,medium-large,romantic_sad,Cancer,Ah... the flower of our love is wilting... I think it would be best if I returned to my castle for a while.,"Your eyes remind me of the flower gardens at home, I can’t wait to be friends!","Hello, what a pleasure to meet you! I was taught that every new meeting must begin with flowers, so I brought you some pink and yellow tulips to express my feelings.","I’m s-sorry, I have trouble opening up to new people because I was raised in the tallest tower of a castle on a cliff on an island in the middle of the ocean. I read that the best way to connect to others is to share your greatest fear, so… here it goes. My greatest fear is “Halloween.”","Why am I afraid of Halloween? When I first left Chateau Rateau, my ancestral home, I thought October 31st was a regular beautiful day. But when I reached the local town, I couldn’t believe how scary the outside world was! The cobwebs? Gravestones? Skeletons everywhere?! I’d never left the grounds before, and almost started to cry. Then a small bird flew to me and told me it was all just for 'decoration'.","I decided to leave Chateau Rateau because my cousin showed me a Hot Wheels that they had just gotten, and I realized that the world outside the moat must be full of mysterious trinkets! The Hot Wheels I saw was bright green and vibrant. It reminded me of my family’s lost emeralds. I asked the worms and they said they don’t know about our emeralds but Hot Wheels are easy to come by!","This is actually my first time in a city, and everything is so new! I didn’t even know that there were life sized versions of Hot Wheels, but there is just something so enchanting about their small scale. I let the city ants drive around in mine, and they were very grateful! They brought me back a lovely nectar lemonade, which is my favorite! Drinks without sugar scare me, but you don't because you are so sweet!","I can’t wait to live the rest of my life with you, I’m happier than a sunflower in sun and my spirits are rosier than a fresh pink carnation! I’m so glad that I left my castle, because it led me to you! I love you!",philoxena-flowers.png,,,,philoxena-beverage.png,,,,,
t,poodles,Poodles,0.315,0.158,medium-small,romantic_happy,Virgo,oh no... that was so mean! I think I need to leave...,I love to help others!,"hEllo! wHat can I do for you today? i’M Poodles, and my favorite thing in the world is to grant wishes and help others!","a Lot of rats don’t believe that I have rEAL wish-granting powers. wEll, they haven’t seen me after three diet pepsis and one glass of milk!","i’Ve been in a few relationships, and those were the best times of my life! i Just LOVE engaging in acts of service! wHen those relationships ended, boy, it broke my heart every time! tHey’d just say “Poodles, somehow my life changed for the better AND for the worse after meeting you! Just let ME solve my own problems for once!”","I was SO excited to meet you again that I spent all of last night cleaning my neighbors yard and then messing it up again and then cleaning it again but even better! tHen I took a quick break to do my sister’s taxes and then I bounced all the way here! Oh NO, do u think I filled out box 34A incorrectly????!!?!?!?!?!","dO you like waking up to freshly pressed bed sheets every day, changed gently during your sleep? aNd your favourite breakfast foods on your lap on a platter? aNd your mail already sorted and your taxes filed? aNd maybe a warm towel to start the day? I’d lOve to be your rat, I’d do anything for you!","yoU chose me!!! Oh, I’m SO excited! Oh, I have 11 different possible dates planned and pre-booked — and here are some flowers — no pressure we don’t have to do all of them — and also 12 wedding binders with themes and options. I love you! I love you! So much!",,,,,,,,,,
t,swalorn,Swalorn,0.27,0.12,medium,paris,Leo,ugh! cars wouldn't talk to me like this. I have more important things to do than stay on this show and date someone rude like you. See ya never!,"What’s cookin’ good lookin’ vroooom vroooom
","Hey, ever ridden on a motorcycle before? I’d love to take ya for a spin, and if you’re not afraid I can show you how to do an Ollie. When I fuel up I always seek out the most expensive gas station in town because that means their gas is better.","My ride has a custom license plate that says “B TRUE”. It’s a reminder to always B TRUE to myself and others. I only deal in luxury tandem-cycles, and anything low-end is a waste of my time, but it’s nice to know there’s always room for a friend.. Or a partner …. In love?",It’s bite or be bit out there. I run an underground bowling league so I’m always prepared to run at any moment if the feds find out. My teeth are brushed and I’m always up to date on my vaccinations and I change my bike’s oil every week just in case. I also keep at least $100 on me at all times.,A new person joined my underground bowling league the other day and they said they were friends with Jagadoo but I just called Jagadoo and they didn’t know who I was talking about. I’m wondering if the feds are onto us??? I really need to get to the store and switch out the bowling balls but honestly right now you’re my number one priority.,I went to my friend’s shop this morning and got you these keys for the Rambo 3000 MIX Dragon Fire all-wheel frontal axis gold plated Hammercycle © Motorcycle. They haven’t even gone on the public market but I wanted you to be able to take it for a test ride; I’ll take the back seat - how does a drive on the riverside sound?,Wow. You are so good at picking a rat to spend the rest of your life with. Let’s run away. Let’s elope. Let’s break the world record for most in love tandem motorcyclists. Whoops! We already did ;),,swalorn-plate.png,swalorn-oilmoney.png,,swalorn-keys.png,,,,,
t,tambone,Tambone,0.244,0.222,small,intense,Pisces,"Betrayal cuts deep,
The pain is like a knife,
I feel so alone.
Goodbye, traitor.
I am leaving this show.","You and me, could it be?","So I took my car to the mechanic and they said I needed an oil change, which got me thinking that maybe perhaps I am in more need of change in my life than I realized","Last week I turned the lights off and I was stunned by the darkness, so I wrote a poem titled “Dimly is the Moonlit Eve” … it ends “though the dawn is drawing near, moonlight knows what happened here”","Why do I write poetry? Hah! I might as well ask, why does the wind blow? Why does the moon control the tides, and why does a microwave pop my popcorn? It’s simply nature","On my walk today a gentle butterfly landed on a delicate flower. Its wings fluttered so gently and as it landed, two new beings touched for the first time and became one. It got me thinking about how I just met you but I already feel so connected to you. How is that possible?","I only have one Rattoo, it’s of an inchworm. I feel similar to an inchworm in many ways, though I never knew what I was inching towards. Now I know I’ve been inching towards you!","Your soul and my soul are threads in the fabric of a treasured garment, a favorite t-shirt from a memorable concert where a young love was formed. I’ve never met anyone like you before. You are home to me my dear, and I love you.",,,tambone-poem.png,,,,,,,
t,thundercroft,Thundercroft,0.333,0.126,medium-large,romantic_sad,Cancer,"Calm skies... sunny skies.... that's what I have to tell myself when I'm about to cry. I don't think it is healthy for me to stay with someone so mean, so I'm going to leave the show. Thanks for the good times.",Oh! I’m blushing,"Oh! Hello, I didn’t see you there. I was distracted by the weather! Those are cumulus clouds, some of my favorites! How about you?",I’m so glad we got to have a second date! I have to take a quick trip out to Ratvaria this evening. They’re having… some weather related problems I need to solve… we can talk about that later - how are doing today? Not too sunny I hope? And no above average windchill? Just let me know,"I’m glad we get along so well. People usually take a while to warm up to me. I have snake relatives on my mother’s mother’s aunt side, so I’m sometimes cold-blooded, but only literally! Not emotionally. But I can be shy, and I think sometimes people get the wrong impression, or they think my name is too scary.","When I was a kid I used to make the sky storm by accident. It would happen when I saw things that made me mad, like when I saw schoolyard Bob stealing lollipops from the other kids, or when I saw the effects of employers underpaying their workers. I want to leave the world a better place every day through small actions and sometimes I think about manipulating traffic lights a little bit just to optimize the flow but a small voice inside me says that would be wrong so I don’t","One time I bought some cotton candy, but I dropped it on the floor and started crying. When I started crying, it started raining and that made my cotton candy disappear and I started crying even more, and then the rain came down even harder, so then I was all wet and It made me even more sad. Which.. Well, lets just say that was the biggest flood my parents ever saw in Ratvada. It was good though ‘cause we were in the middle of a drought. That was the first time I started to really understand the power that individuals have to make the world a better place","Yesterday when I woke up for the sunrise - the perfect amount of mist was in the air so when the sun finally peaked over the hills, you could see all the colors and rays of light and… and I felt so warm and comfortable and inspired and I realized that’s also how I feel when I’m around you. I love you.",,,,,,,,,,
t,yodine,Yodine,0.322,0.144,medium-small,romantic_happy,Taurus,"I'm very upset by your words but at least i have my ring.. Honestly, I think this ring is all I ever needed. I'm going to leave this show.",Oh hello there! I’m Yodine,"I was so nervous to be a contestant that I went out and ended up buying myself my very own diamond ring. I thought this way I wouldn’t be as nervous about whether or not we get married, and I felt like it would take a lot of the pressure off, helping me feel more relaxed and authentic, instead of feeling like I’m in a competition with everyone.","I try to stay grounded but I think that sometimes other people’s expectations of me cloud my judgement and confuse my inner compass. That’s the last thing I want. I want to be able to know more about myself, and my thoughts and feelings - without other people’s getting in the way. That being said, I am grateful for my friends and my family and have a lot of love for the people in my life","When I was a kid my older sister brought me to the tree-climbing competition to watch my younger brother climb a tree as fast as he could. It was a surprise because I didn't know tree-climbing competitions existed, and I didn't know my brother climbed. When he won, he gave a short speech and thanked me and my sister for inspiring him to do what he loved - turns out she didn't know about the competition either. Afterwards we all went for cake to celebrate, and it was nice to realize not only how much I loved my siblings, but how much we loved each other.","I love my family and my friends, but I also appreciate time alone. I think it helps me to ground myself and interact with the world in a less distracted, more intentional way. When I take walks alone I find myself awed by the flowers and buildings and sounds of the world in a way that I forget to when I’m with others. When I take a walk with a friend, I find myself more focused on the conversations we are having, and the thoughts in my mind. I think both are valuable and the experiences balance eachother out. The calm serenity of observing fills me with a deep fulfillment and tranquility.","You know, I’ve grown quite fond of my ring. I think I wouldn’t mind wearing two of them! In fact I think I would actually quite prefer it! I’d even like to get you one.. If you would like? Then we would match :)  I think you are very kind and I wouldn’t mind spending the rest of my life with you - actually I think I might like that more than anything.","I’m so glad we found eachother. I think we are quite a pair. I’ve really loved getting to know you. I was really nervous about being here but your presence really calmed me, and I think we complement one another very well.",,,,,,,,,,
t,zindello,Zindello,0.444,0.104,medium-small,romantic_happy,Pisces,"This is a sign we were not meant to be. I hate to close doors, but I think this one must close. Goodbye, friend. Hope to see you around.",What is your sign?,"It’s a joy to look into your eyes, where I can see the twinkling sparkle of words that haven’t been said. I can’t wait to hear you say them!","Sometimes I draw a Tarat card in the morning to give me inspiration for the day, and this morning my card was all about creating new relationships. It made me think about you, and how excited I am to get to know you better.","I printed the stars from the skies from our birthdays and re-organized them so that the different constellations spelled out how much I love you -- 100,023! That was no accident, no serendipitous twist of fate, but the fruits of my labors.","What if we took a boat ride right now! That would be so romantic. I know it’s -10 degrees outside but I have 12 entire rain ponchos and some extra blankets so we will stay so warm. I think If we go all the way into the middle of the lake we would have such a lovely view of the moon, and then when the moon leaves we will be able to see the sun.","When I was walking home today I ran into a lizard who wouldn’t stop telling me the answers to different riddles, but wouldn’t provide the questions. Suddenly they said your name. I knew then and there the only question could have been: “Who is the rat nearest and dearest to your heart?”","My love, you are my past, my present, and my future! We are truly partners, and I am so delighted that you and I can explore all the wonders of this brilliant world together. Let’s go gaze at the stars and hold hands!",,,,,,,,,,